HVAC_TEMPERATURE_DISPLAY_UNITS,289408270
CABIN_LIGHTS_SWITCH,289410818
EV_BATTERY_LEVEL,291504905
EV_CHARGE_PORT_OPEN,287310602
ABS_ACTIVE,287310858
ENGINE_OIL_LEVEL,289407747
VEHICLE_SPEED_DISPLAY_UNITS,289408516
CRITICALLY_LOW_TIRE_PRESSURE,392168202
SEAT_FORE_AFT_MOVE,356518790
SEAT_OCCUPANCY,356518832
WINDOW_MOVE,322964417
HVAC_AUTO_RECIRC_ON,354419986
ENV_OUTSIDE_TEMPERATURE,291505923
PARKING_BRAKE_AUTO_APPLY,287310851
SEAT_HEADREST_HEIGHT_POS,289409941
VEHICLE_CURB_WEIGHT,289410886
GEAR_SELECTION,289408000
SEAT_HEADREST_HEIGHT_MOVE,356518806
INFO_FUEL_TYPE,289472773
