OTHER,101
TESLA_SUPERCHARGER,8
TESLA_HPWC,7
MENNEKES,2
GBT_DC,10
GBT,9
SCAME,11
TESLA_ROADSTER,6
UNKNOWN,0
CHADEMO,3
